Input-1,Input-2,Input-3,Input-4,Input-5,Input-6,Input-7,Input-8
-9.068883260554964,4.413613366392008,4.704370452511175,2.019042209974566,-5.859631580152531,-3.935856236158087,9.27643260434297,-6.994714126012326
-3.221005639395961,6.932741229007008,-1.2180700766068147,-8.867063735469957,-3.237999812808675,1.5129225992225555,-4.316634051679357,7.720436786205047
-5.691879091439026,9.963742616608974,-3.966771636863253,9.547418240444994,-7.981875873251296,2.3600556158030646,-1.9146960092940797,2.9456165711046958
-8.381855905069228,8.828496329437847,4.850938653018407,-0.20463252205655424,0.3280726621422415,-7.106605315182106,-1.2934031736571643,1.8056884078679634
-7.617294617994365,8.69725426818929,6.121760038881223,0.8260157814706754,0.43104213365624644,-7.294624824158883,-2.302170495839985,1.188872963782908
-8.765417089518273,4.402398041080566,5.304964839963945,2.9904345471515725,-5.036651494764908,-4.544132723603786,9.83215811681919,-5.817666472444029
-7.326978137680942,9.758298902401288,5.4236398373932815,0.12636872807979999,-0.12388458241962308,-7.258985724832255,-1.1165564805347477,2.160890786517669
-5.451118925364218,9.76828058572049,-3.341665316731746,9.27177636518849,-6.7431750893979014,3.3846101096854855,-2.4668940079845756,2.3580857043176255
-8.931575812823745,4.403145939007037,5.004552972160001,2.7713129129337877,-6.434815920256505,-4.891141922093792,9.587179956549374,-6.01138932197117
-9.628191931843238,3.8618260815514125,5.010252219549634,3.2440258563290034,-5.758236053766833,-4.686361025224075,10.168875720048302,-6.06105432450671
-4.172718858178636,9.429462654460973,-3.130270906303412,9.962777939312101,-6.594570277825019,4.500834852378851,-2.9300742247181164,3.326603273833566
-9.422343672758773,8.616104885580633,4.941113498161046,-0.2259466751221142,0.09091157608475575,-7.23788332788164,-2.1729239242193534,0.5031680705809072
-2.366527681246956,6.071551538003534,0.13417187612929327,-9.538466229667392,-2.7214591258117546,1.2922034217190217,-3.525700612074891,8.232482460446386
-9.51257268658558,3.531336710336588,5.075848546417131,2.390085639305019,-5.346073406422399,-5.924212405776165,10.440256164531037,-5.709267452291795
-2.300384743980402,6.825077055945349,0.9587266554637548,-9.722948782128881,-2.1778829901212733,0.548298512738828,-3.3728180797166103,7.302952464747618
-5.238849814856774,9.045178249523127,-3.7395577572470446,8.171139615081778,-6.517036272366999,3.7368317305618017,-1.7180120036299966,4.068124301134167
-5.387844822639611,9.910901045228695,-3.312871227294494,9.352944451008797,-7.136679575568723,3.9486889238814227,-2.158930182471209,1.6554145373802236
-9.66546863351411,2.8804640643966946,4.851725457874623,2.5253291504714985,-5.344717752137014,-4.80486045502579,9.730631821888291,-6.833977453447676
-9.613057193375363,3.6995225298026404,4.767592092493528,2.583748020017283,-5.046846604734351,-5.064485817271203,9.964009481210587,-5.371735820880007
-2.554250723132143,7.365419398721917,-0.08495990226375928,-9.755582877324617,-3.193344088630989,1.4660543187400639,-4.534635929050242,7.695158607147873
-9.109812890330355,3.295633991552201,3.8209200258974603,1.887190182291603,-5.612262187677556,-5.523848560042633,10.356582600793013,-5.5727297814663075
-9.822831909674635,4.081836899425543,5.0288431043584465,1.8144764726954015,-5.573694279442492,-4.961368417787691,9.94215276764113,-5.938790351323272
-9.927541467014983,4.103658635081947,4.946637882632491,2.406114897103585,-4.86104285136969,-5.360748739911607,10.010383253937459,-6.011989731565054
-10.33928005983921,4.093753854091822,4.9513621746528536,2.8516008151726346,-5.0713694005873355,-5.364467845708369,9.459144596350532,-6.758096384239243
-9.107153059161682,3.439902767380982,4.606675165681599,1.8697445206648347,-5.662780062681886,-4.888764139435099,9.290336014653775,-5.886640262253656
-6.021810562005604,9.979352400192324,-3.728794538884352,8.797587915765527,-7.852140834975652,3.1825801757343504,-2.870107423086642,2.8750301506003857
-8.855616944185572,9.381121225659703,5.075178424163592,-0.06806994283640233,1.5179007250124807,-7.441701111615683,-2.7822238534265997,1.695748850395371
-2.847013274419556,6.503875100506195,-0.9184812038743475,-9.607625072902321,-3.032691358680958,0.7474170109390053,-3.7705521349218687,8.07468027217482
-8.745363895232211,8.706934445827786,4.521085839865307,0.8039160725720659,0.4447281098296925,-7.588268813214583,-1.602822869658508,2.0134790774452664
-5.766430758027555,9.768361848215147,-2.905724184455821,9.045167374327756,-6.060331361684058,3.011849148925596,-1.7353821899413888,3.097792185265452
-9.527739394658933,2.9990952058837657,4.234112186945289,3.6957140114547897,-5.021707213439376,-5.300676918816462,9.462250090231764,-6.621859741435368
-5.627639441769524,9.574959704300749,-2.731414042013857,8.765967945200902,-5.793875183699498,2.6063546190830262,-3.401545129305951,3.2821757862530805
-3.2227915167754535,6.355963035206974,-0.5538171161900596,-10.06709162226803,-3.0672571946618983,0.4695345073897149,-4.962398042812445,7.205382520227847
-3.5212923098983904,6.790215811762924,0.059971861992148906,-9.580881267833831,-3.2070758079721986,1.6923283247671583,-4.406287660185034,8.048043947153737
-9.1992955908785,8.161443800792943,4.073548432236327,0.6467364887368456,0.06921863756781721,-7.880705315022039,-1.3619526657719425,1.1383867151993803
-5.281943594739015,9.35560980131647,-3.6045647262216147,8.047179071053574,-7.69437948981183,3.8362322792496273,-3.3121106978652817,2.8169955591174802
-4.924426302453707,9.418065343667985,-3.0933800277479513,9.82962963036937,-7.1917646449526265,2.1487857921747464,-2.783502488066133,1.9463891377907316
-8.326228613470496,9.039424000422999,7.76323141607812,1.1671707943775322,-0.37119063686114107,-6.866126587605789,-1.3186500668987935,1.5565726159468518
-9.552217946241896,3.940713324099861,4.748530538797097,1.182029416452253,-4.942246707061565,-5.2325914336427575,10.273416150098015,-6.080976704199308
-8.045636930754998,8.416690729101237,4.452228219808203,0.3304434225000063,-0.11817990460735683,-7.250067945345024,-1.9244283209101638,2.5409859016762413
-9.502480819733412,4.9667406625138595,3.7763311807259186,1.7776182041880224,-6.124188236048979,-4.93989716607727,10.602154977168224,-6.844676717530874
-9.850265888491892,5.055270644569138,5.533516170909616,2.8747561692585686,-5.293220998575788,-5.970006367726638,9.891316641850622,-5.5295987153557515
-4.117426888715803,9.36403201479697,-3.0188374328699905,8.41595585200017,-7.180142518889863,4.572162627578083,-2.709340138662136,4.14466647410459
-8.38696250568285,8.538891756426695,5.036420721847807,0.6599209091701382,0.964165178814074,-6.888083365206242,-1.863812895485911,2.584656909171985
